"Treatment","Clusters","Block","Repetition","Yield","Number_of_Fruits"
"Infes+EXAm","Cluster5",1,"2","2621","6"
"Infes+EXAm","Cluster6",1,"2","756.6","7"
"Infes+EXAm","Cluster1",1,"3","865.2","7"
"Infes+EXAm","Cluster2",1,"3","1135.2","8"
"Infes+EXAm","Cluster3",1,"3","486.20000000000005","4"
"Infes+EXAm","Cluster4",1,"3","884.09999999999991","6"
"Infes+EXAm","Cluster5",1,"3","605.5","5"
"Infes+EXAm","Cluster6",1,"3","499.5","3"
"Infes+EXAm","Cluster1",2,"1","596.70000000000005","5"
"Infes+EXAm","Cluster2",2,"1","1311.6","12"
"Infes+EXAm","Cluster3",2,"1","1067.0999999999999","6"
"Infes+EXAm","Cluster4",2,"1","1446.8999999999999","9"
"Infes+EXAm","Cluster5",2,"1","353.5","3"
"Infes+EXAm","Cluster6",2,"1","485.4","3"
"Infes+EXAm","Cluster1",2,"2","484.49999999999994","5"
"Infes+EXAm","Cluster2",2,"2","932.00000000000011","7"
"Infes+EXAm","Cluster3",2,"2","885.8","6"
"Infes+EXAm","Cluster4",2,"2","696","6"
"Infes+EXAm","Cluster5",2,"2","593.79999999999995","6"
"Infes+EXAm","Cluster6",2,"2","446.9","3"
"Infes+EXAm","Cluster1",2,"3","752.7","6"
"Infes+EXAm","Cluster2",2,"3","1087.5","10"
"Infes+EXAm","Cluster3",2,"3","913.39999999999986","8"
"Infes+EXAm","Cluster4",2,"3","487","6"
"Infes+EXAm","Cluster5",2,"3","969","11"
"Infes+EXAm","Cluster6",2,"3","240.4","2"
"Infes+EXAm","Cluster1",3,"1","362","4"
"Infes+EXAm","Cluster2",3,"1","1717","7"
"Infes+EXAm","Cluster3",3,"1","1179.23","9"
"Infes+EXAm","Cluster4",3,"1","946.40000000000009","6"
"Infes+EXAm","Cluster5",3,"1","0","0"
"Infes+EXAm","Cluster6",3,"1","63.6","1"
"Infes+EXAm","Cluster1",3,"2","752.69999999999993","7"
"Infes+EXAm","Cluster2",3,"2","1119.0999999999999","8"
"Infes+EXAm","Cluster3",3,"2","1400.0000000000002","11"
"Infes+EXAm","Cluster4",3,"2","2797.8","6"
"Infes+EXAm","Cluster5",3,"2","362.3","3"
"Infes+EXAm","Cluster6",3,"2","336.9","2"
"Infes+EXAm","Cluster1",3,"3","666.8","5"
"Infes+EXAm","Cluster2",3,"3","1060.2","7"
"Infes+EXAm","Cluster3",3,"3","405.09999999999997","8"
"Infes+EXAm","Cluster4",3,"3","553","6"
"Infes+EXAm","Cluster5",3,"3","283","2"
"Infes+EXAm","Cluster6",3,"3","465.2","5"
"Infes+EXAm","Cluster1",4,"1","541.20000000000005","6"
"Infes+EXAm","Cluster2",4,"1","1085.145","8"
"Infes+EXAm","Cluster3",4,"1","686.1","5"
"Infes+EXAm","Cluster4",4,"1","806","6"
"Infes+EXAm","Cluster5",4,"1","0","0"
"Infes+EXAm","Cluster6",4,"1","529.20000000000005","4"
"Infes+EXAm","Cluster1",4,"2","800.5","6"
"Infes+EXAm","Cluster2",4,"2","829.60000000000014","7"
"Infes+EXAm","Cluster3",4,"2","793.90000000000009","6"
"Infes+EXAm","Cluster4",4,"2","675","6"
"Infes+EXAm","Cluster5",4,"2","0","0"
"Infes+EXAm","Cluster6",4,"2","333.3","2"
"Infes+EXAm","Cluster1",4,"3","561.1117999999999","6"
"Infes+EXAm","Cluster2",4,"3","476.09999999999997","4"
"Infes+EXAm","Cluster3",4,"3","898","6"
"Infes+EXAm","Cluster4",4,"3","682","6"
"Infes+EXAm","Cluster5",4,"3","589.21","5"
"Infes+EXAm","Cluster6",4,"3","275.2","3"
"Infes+EXAm","Cluster1",5,"1","1098.1999999999998","9"
"Infes+EXAm","Cluster2",5,"1","850.3","10"
"Infes+EXAm","Cluster3",5,"1","898.1","6"
"Infes+EXAm","Cluster4",5,"1","914.6","6"
"Infes+EXAm","Cluster5",5,"1","615.20000000000005","5"
"Infes+EXAm","Cluster6",5,"1","1075.3999999999999","7"
"Infes+EXAm","Cluster1",5,"2","964.7","8"
"Infes+EXAm","Cluster2",5,"2","1026.0999999999999","8"
"Infes+EXAm","Cluster3",5,"2","1294.2","8"
"Infes+EXAm","Cluster4",5,"2","699.7","6"
"Infes+EXAm","Cluster5",5,"2","637.4","8"
"Infes+EXAm","Cluster6",5,"2","262.7","3"
"Infes+EXAm","Cluster1",5,"3","739.49999999999989","7"
"Infes+EXAm","Cluster2",5,"3","1669","9"
"Infes+EXAm","Cluster3",5,"3","1124.3999999999999","6"
"Infes+EXAm","Cluster4",5,"3","598","6"
"Infes+EXAm","Cluster5",5,"3","525.69999999999993","5"
"Infes+EXAm","Cluster6",5,"3","317.60000000000002","4"
"Infes+Captan","Cluster1",1,"1","388.7","5"
"Infes+Captan","Cluster2",1,"1","1249.9000000000001","10"
"Infes+Captan","Cluster3",1,"1","1312.8999999999999","9"
"Infes+Captan","Cluster4",1,"1","937","7"
"Infes+Captan","Cluster5",1,"1","0","0"
"Infes+Captan","Cluster6",1,"1","613","5"
"Infes+Captan","Cluster1",1,"2","841.2","7"
"Infes+Captan","Cluster2",1,"2","0","0"
"Infes+Captan","Cluster3",1,"2","1346.4","9"
"Infes+Captan","Cluster4",1,"2","695","6"
"Infes+Captan","Cluster5",1,"2","508.50000000000006","5"
"Infes+Captan","Cluster6",1,"2","468.20000000000005","5"
